 ,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
73,59.041667000000004,87.0,20,86,0.006958,0.013000000000000001,9,11,10.166667,22.0,20,31.0,2.65,4.9,1,55.0
74,59.041667000000004,87.0,20,86,0.006958,0.013000000000000001,9,11,10.1375,18.0,23,6.410917816436712,2.5333330000000003,5.9,22,11.680663867226555
75,59.041667000000004,87.0,20,86,0.006958,0.013000000000000001,9,11,10.1375,18.0,23,6.410917816436712,2.65,4.9,1,55.0
76,48.357143,65.0,0,63,0.0085,0.016,10,14,9.391304,17.0,21,24.0,2.231818,4.6,21,11.680663867226555
77,48.357143,65.0,0,63,0.0085,0.016,10,14,9.391304,17.0,21,24.0,2.3666669999999996,4.1,1,47.0
78,48.357143,65.0,0,63,0.0085,0.016,10,14,9.5,14.3,23,6.410917816436712,2.231818,4.6,21,11.680663867226555
79,48.357143,65.0,0,63,0.0085,0.016,10,14,9.5,14.3,23,6.410917816436712,2.3666669999999996,4.1,1,47.0
80,54.5,61.0,21,58,0.008542000000000001,0.013999999999999999,9,12,7.9583330000000005,17.0,22,24.0,2.020833,6.5,22,11.680663867226555
81,54.5,61.0,21,58,0.008542000000000001,0.013999999999999999,9,12,7.9583330000000005,17.0,22,24.0,1.9125,3.5,23,40.0
82,54.5,61.0,21,58,0.008542000000000001,0.013999999999999999,9,12,7.9,14.6,23,6.410917816436712,2.020833,6.5,22,11.680663867226555
83,54.5,61.0,21,58,0.008542000000000001,0.013999999999999999,9,12,7.9,14.6,23,6.410917816436712,1.9125,3.5,23,40.0
84,38.083333,64.0,21,62,0.010583,0.02,10,17,6.875,14.0,21,20.0,1.875,5.3,22,11.680663867226555
85,38.083333,64.0,21,62,0.010583,0.02,10,17,6.875,14.0,21,20.0,1.9125,3.8,0,43.0
86,38.083333,64.0,21,62,0.010583,0.02,10,17,6.85,13.3,23,6.410917816436712,1.875,5.3,22,11.680663867226555
87,38.083333,64.0,21,62,0.010583,0.02,10,17,6.85,13.3,23,6.410917816436712,1.9125,3.8,0,43.0
88,37.958333,66.0,20,64,0.016291999999999997,0.036000000000000004,10,31,6.7916669999999995,14.0,22,20.0,1.8625,4.6,22,11.680663867226555
89,37.958333,66.0,20,64,0.016291999999999997,0.036000000000000004,10,31,6.7916669999999995,14.0,22,20.0,1.979167,4.0,1,45.0
90,37.958333,66.0,20,64,0.016291999999999997,0.036000000000000004,10,31,6.7625,12.0,23,6.410917816436712,1.8625,4.6,22,11.680663867226555
91,37.958333,66.0,20,64,0.016291999999999997,0.036000000000000004,10,31,6.7625,12.0,23,6.410917816436712,1.979167,4.0,1,45.0
92,53.333332999999996,77.0,21,76,0.011417,0.023,10,19,9.083333,18.0,21,26.0,1.9916669999999999,4.8,21,11.680663867226555
93,53.333332999999996,77.0,21,76,0.011417,0.023,10,19,9.083333,18.0,21,26.0,1.979167,3.3,1,38.0
94,53.333332999999996,77.0,21,76,0.011417,0.023,10,19,9.05,16.3,23,6.410917816436712,1.9916669999999999,4.8,21,11.680663867226555
95,53.333332999999996,77.0,21,76,0.011417,0.023,10,19,9.05,16.3,23,6.410917816436712,1.979167,3.3,1,38.0
96,42.583333,59.0,0,56,0.009917,0.02,9,17,7.8333330000000005,11.0,0,16.0,1.229167,2.2,0,11.680663867226555
97,42.583333,59.0,0,56,0.009917,0.02,9,17,7.8333330000000005,11.0,0,16.0,1.554167,2.9,0,33.0
98,42.583333,59.0,0,56,0.009917,0.02,9,17,7.8,10.6,11,6.410917816436712,1.229167,2.2,0,11.680663867226555
99,42.583333,59.0,0,56,0.009917,0.02,9,17,7.8,10.6,11,6.410917816436712,1.554167,2.9,0,33.0
100,27.217390999999996,42.0,0,40,0.01775,0.035,10,30,3.363636,7.0,1,10.0,0.7608699999999999,1.3,5,11.680663867226555
101,27.217390999999996,42.0,0,40,0.01775,0.035,10,30,3.363636,7.0,1,10.0,0.866667,1.4,0,16.0
102,27.217390999999996,42.0,0,40,0.01775,0.035,10,30,3.3,6.6,2,6.410917816436712,0.7608699999999999,1.3,5,11.680663867226555
103,27.217390999999996,42.0,0,40,0.01775,0.035,10,30,3.3,6.6,2,6.410917816436712,0.866667,1.4,0,16.0
104,33.375,51.0,8,48,0.013999999999999999,0.027999999999999997,10,24,3.684211,11.0,8,16.0,1.145833,2.9,8,11.680663867226555
105,33.375,51.0,8,48,0.013999999999999999,0.027999999999999997,10,24,3.684211,11.0,8,16.0,0.925,1.6,23,18.0
106,33.375,51.0,8,48,0.013999999999999999,0.027999999999999997,10,24,4.48,7.6,8,6.410917816436712,1.145833,2.9,8,11.680663867226555
107,33.375,51.0,8,48,0.013999999999999999,0.027999999999999997,10,24,4.48,7.6,8,6.410917816436712,0.925,1.6,23,18.0
108,36.875,54.0,21,51,0.013000000000000001,0.027000000000000003,10,23,3.952381,14.0,21,20.0,1.4375,4.7,21,11.680663867226555
109,36.875,54.0,21,51,0.013000000000000001,0.027000000000000003,10,23,3.952381,14.0,21,20.0,1.454167,1.9,1,22.0
110,36.875,54.0,21,51,0.013000000000000001,0.027000000000000003,10,23,4.55,9.0,8,6.410917816436712,1.4375,4.7,21,11.680663867226555
111,36.875,54.0,21,51,0.013000000000000001,0.027000000000000003,10,23,4.55,9.0,8,6.410917816436712,1.454167,1.9,1,22.0
112,39.625,66.0,22,64,0.017083,0.037000000000000005,10,31,6.157895,17.0,22,24.0,2.025,5.8,22,11.680663867226555
113,39.625,66.0,22,64,0.017083,0.037000000000000005,10,31,6.157895,17.0,22,24.0,1.708333,3.1,23,35.0
114,39.625,66.0,22,64,0.017083,0.037000000000000005,10,31,6.466667,13.0,23,6.410917816436712,2.025,5.8,22,11.680663867226555
